curr_state	curr_action	next_reward	next_state
1144	1	0	1273
1273	0	0	1401
1401	-1	0	1528
1528	1	0	1657
1657	-1	0	1784
1784	1	0	1913
1913	0	0	2041
2041	0	0	2041
2041	1	0	2042
2042	-1	0	2041
2041	1	0	2042
2042	0	0	2042
2042	1	0	2043
2043	1	0	1916
1916	-1	0	1787
1787	0	0	1659
1659	-1	0	1530
1530	-1	0	1529
1529	-1	0	1656
1656	0	0	1784
1784	1	0	1913
1913	-1	0	2040
2040	1	0	2041
2041	-1	0	2040
2040	1	0	2041
2041	0	0	2041
2041	-1	0	2040
2040	-1	0	2047
2047	-1	0	2038
2038	-1	0	2029
2029	-1	0	1892
1892	1	0	1765
