state	action
0	0
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	-1
9	1
10	0
11	-1
12	1
13	1
14	1
15	1
16	-1
17	-1
18	-1
19	1
20	-1
21	1
22	1
23	-1
24	-1
25	1
26	0
27	1
28	1
29	1
30	-1
31	-1
32	-1
33	-1
34	1
35	0
36	1
37	0
38	-1
39	0
40	-1
41	-1
42	0
43	-1
44	1
45	0
46	1
47	-1
48	-1
49	-1
50	0
51	-1
52	-1
53	1
54	1
55	0
56	-1
57	1
58	-1
59	0
60	-1
61	-1
62	1
63	-1
64	-1
65	-1
66	-1
67	-1
68	-1
69	1
70	0
71	1
72	-1
73	1
74	-1
75	-1
76	-1
77	0
78	-1
79	0
80	-1
81	-1
82	-1
83	-1
84	1
85	-1
86	-1
87	0
88	-1
89	-1
90	1
91	-1
92	1
93	0
94	-1
95	-1
96	-1
97	1
98	0
99	-1
100	-1
101	-1
102	1
103	-1
104	-1
105	-1
106	-1
107	-1
108	1
109	1
110	-1
111	0
112	-1
113	-1
114	-1
115	-1
116	-1
117	0
118	1
119	0
120	0
121	-1
122	-1
123	-1
124	1
125	1
126	0
127	0
128	1
129	-1
130	-1
131	-1
132	-1
133	0
134	1
135	0
136	1
137	1
138	-1
139	1
140	1
141	1
142	1
143	1
144	-1
145	0
146	-1
147	1
148	1
149	0
150	0
151	1
152	1
153	-1
154	1
155	-1
156	1
157	0
158	1
159	1
160	1
161	-1
162	1
163	-1
164	1
165	-1
166	1
167	-1
168	0
169	-1
170	-1
171	-1
172	1
173	0
174	0
175	1
176	-1
177	1
178	0
179	-1
180	-1
181	0
182	1
183	1
184	-1
185	-1
186	0
187	-1
188	-1
189	-1
190	1
191	0
192	-1
193	0
194	1
195	-1
196	-1
197	-1
198	-1
199	0
200	-1
201	1
202	1
203	-1
204	1
205	0
206	0
207	0
208	-1
209	0
210	-1
211	0
212	0
213	0
214	1
215	-1
216	-1
217	-1
218	0
219	-1
220	0
221	0
222	-1
223	-1
224	-1
225	-1
226	0
227	1
228	-1
229	-1
230	1
231	1
232	-1
233	1
234	-1
235	-1
236	1
237	1
238	-1
239	-1
240	-1
241	-1
242	-1
243	1
244	-1
245	0
246	-1
247	-1
248	-1
249	-1
250	-1
251	0
252	1
253	0
254	-1
255	-1
256	0
257	0
258	-1
259	1
260	0
261	1
262	1
263	1
264	0
265	-1
266	-1
267	-1
268	0
269	1
270	1
271	1
272	0
273	-1
274	-1
275	-1
276	1
277	1
278	1
279	-1
280	-1
281	0
282	-1
283	-1
284	1
285	0
286	-1
287	0
288	1
289	-1
290	-1
291	0
292	-1
293	0
294	-1
295	1
296	0
297	-1
298	-1
299	1
300	1
301	0
302	1
303	0
304	0
305	-1
306	0
307	-1
308	-1
309	1
310	0
311	-1
312	-1
313	-1
314	-1
315	-1
316	-1
317	1
318	-1
319	1
320	0
321	0
322	-1
323	0
324	-1
325	-1
326	1
327	0
328	-1
329	-1
330	0
331	0
332	-1
333	-1
334	0
335	1
336	-1
337	-1
338	-1
339	0
340	0
341	-1
342	1
343	-1
344	-1
345	-1
346	-1
347	-1
348	1
349	1
350	1
351	0
352	-1
353	0
354	-1
355	-1
356	-1
357	-1
358	-1
359	0
360	1
361	0
362	-1
363	-1
364	0
365	-1
366	1
367	-1
368	-1
369	-1
370	-1
371	0
372	1
373	-1
374	-1
375	0
376	-1
377	-1
378	-1
379	-1
380	-1
381	1
382	-1
383	-1
384	1
385	0
386	-1
387	-1
388	-1
389	1
390	1
391	0
392	1
393	0
394	-1
395	-1
396	-1
397	1
398	1
399	-1
400	1
401	-1
402	-1
403	-1
404	-1
405	0
406	0
407	-1
408	0
409	0
410	-1
411	0
412	-1
413	1
414	1
415	-1
416	1
417	0
418	-1
419	1
420	-1
421	-1
422	-1
423	1
424	1
425	-1
426	-1
427	1
428	0
429	-1
430	0
431	-1
432	0
433	1
434	-1
435	-1
436	1
437	-1
438	0
439	-1
440	1
441	-1
442	-1
443	-1
444	1
445	-1
446	-1
447	1
448	-1
449	-1
450	-1
451	1
452	1
453	0
454	1
455	-1
456	0
457	-1
458	-1
459	-1
460	0
461	0
462	0
463	0
464	-1
465	0
466	0
467	-1
468	-1
469	1
470	1
471	0
472	-1
473	1
474	0
475	0
476	1
477	1
478	0
479	0
480	-1
481	-1
482	0
483	0
484	-1
485	0
486	1
487	0
488	-1
489	-1
490	-1
491	-1
492	0
493	1
494	1
495	0
496	0
497	-1
498	-1
499	0
500	0
501	-1
502	1
503	0
504	-1
505	-1
506	-1
507	-1
508	-1
509	-1
510	-1
511	-1
512	0
513	0
514	-1
515	-1
516	1
517	0
518	1
519	1
520	-1
521	1
522	-1
523	1
524	-1
525	1
526	1
527	1
528	0
529	0
530	-1
531	-1
532	1
533	1
534	1
535	-1
536	1
537	1
538	-1
539	1
540	1
541	1
542	0
543	-1
544	-1
545	-1
546	-1
547	0
548	-1
549	0
550	0
551	1
552	0
553	0
554	-1
555	1
556	-1
557	1
558	1
559	-1
560	1
561	-1
562	-1
563	-1
564	-1
565	-1
566	0
567	1
568	-1
569	0
570	-1
571	0
572	0
573	-1
574	1
575	-1
576	-1
577	-1
578	-1
579	0
580	-1
581	-1
582	-1
583	1
584	0
585	-1
586	1
587	0
588	-1
589	0
590	1
591	0
592	-1
593	-1
594	1
595	1
596	-1
597	1
598	1
599	1
600	0
601	-1
602	1
603	-1
604	-1
605	0
606	1
607	0
608	0
609	-1
610	1
611	-1
612	0
613	0
614	1
615	0
616	0
617	1
618	1
619	-1
620	-1
621	0
622	0
623	-1
624	0
625	1
626	1
627	-1
628	-1
629	0
630	1
631	-1
632	-1
633	1
634	1
635	-1
636	-1
637	-1
638	-1
639	-1
640	1
641	-1
642	-1
643	-1
644	-1
645	1
646	1
647	1
648	0
649	1
650	0
651	1
652	0
653	1
654	-1
655	1
656	-1
657	-1
658	-1
659	0
660	1
661	-1
662	-1
663	-1
664	1
665	0
666	1
667	-1
668	1
669	1
670	-1
671	0
672	0
673	1
674	-1
675	-1
676	1
677	1
678	-1
679	0
680	1
681	1
682	0
683	-1
684	1
685	0
686	-1
687	0
688	-1
689	-1
690	0
691	-1
692	-1
693	1
694	-1
695	-1
696	0
697	0
698	-1
699	-1
700	0
701	-1
702	1
703	1
704	-1
705	-1
706	1
707	1
708	-1
709	1
710	1
711	1
712	-1
713	-1
714	-1
715	0
716	0
717	-1
718	1
719	-1
720	-1
721	-1
722	1
723	0
724	1
725	0
726	0
727	0
728	-1
729	1
730	1
731	0
732	-1
733	1
734	1
735	0
736	-1
737	-1
738	0
739	-1
740	-1
741	1
742	1
743	1
744	-1
745	1
746	0
747	0
748	-1
749	1
750	0
751	-1
752	0
753	-1
754	1
755	0
756	-1
757	1
758	0
759	-1
760	1
761	-1
762	1
763	0
764	-1
765	-1
766	-1
767	-1
768	1
769	0
770	-1
771	1
772	0
773	-1
774	-1
775	-1
776	1
777	1
778	0
779	0
780	0
781	0
782	0
783	1
784	1
785	-1
786	-1
787	-1
788	1
789	0
790	0
791	0
792	1
793	1
794	-1
795	-1
796	1
797	0
798	-1
799	-1
800	0
801	1
802	-1
803	0
804	-1
805	1
806	-1
807	-1
808	0
809	1
810	0
811	-1
812	-1
813	1
814	-1
815	1
816	0
817	-1
818	-1
819	-1
820	-1
821	0
822	-1
823	-1
824	1
825	-1
826	0
827	1
828	-1
829	0
830	1
831	-1
832	-1
833	0
834	-1
835	1
836	1
837	-1
838	-1
839	-1
840	-1
841	0
842	-1
843	1
844	0
845	0
846	1
847	1
848	1
849	0
850	1
851	0
852	0
853	1
854	1
855	0
856	-1
857	-1
858	0
859	0
860	1
861	1
862	1
863	-1
864	0
865	0
866	1
867	0
868	-1
869	1
870	0
871	-1
872	-1
873	0
874	1
875	0
876	-1
877	1
878	0
879	-1
880	-1
881	0
882	-1
883	0
884	1
885	1
886	-1
887	-1
888	1
889	0
890	1
891	0
892	-1
893	1
894	-1
895	-1
896	-1
897	1
898	-1
899	-1
900	0
901	-1
902	-1
903	-1
904	-1
905	1
906	0
907	-1
908	0
909	-1
910	-1
911	-1
912	-1
913	1
914	0
915	-1
916	0
917	-1
918	-1
919	0
920	-1
921	-1
922	0
923	-1
924	-1
925	-1
926	-1
927	-1
928	-1
929	0
930	0
931	-1
932	0
933	0
934	0
935	0
936	1
937	1
938	0
939	-1
940	-1
941	-1
942	-1
943	1
944	-1
945	0
946	-1
947	1
948	-1
949	1
950	-1
951	-1
952	-1
953	-1
954	-1
955	-1
956	0
957	1
958	0
959	0
960	0
961	-1
962	0
963	0
964	0
